Rk,Player,Nation,Pos,Club,League,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
70,Dele Alli,ENG,MFFW,Tottenham,Premier League,26,1996,10,8,657,7.3,0.14,0.55,0.27,50,0,0,18.2,0,0.14,0.14,22.9,29.3,78,368.1,89.2,12.9,14.8,87,7.67,9.45,81.2,1.92,3.7,51.9,0,0.27,1.78,0.68,0,2.6,29.3,27.7,1.64,0.82,0,5.75,0.27,0.41,0,0,0,0,20.4,4.52,4.38,1.37,24.7,1.64,0.41,0.41,22.9,0.14,0.27,1.51,0.96,1.1,0.68,0,0,0,0.41,0,0.14,0,0,0,0,0.14,0,2.6,0.96,1.51,0.82,0.27,0.68,2.33,29.4,1.64,28.6,7.53,26.3,11.1,12.6,4.93,3.42,0.68,0,2.74,2.33,4.93,1.64,0,45.3,3.15,11.9,23.6,13.3,2.74,44,0.68,2.47,27.8,0.96,0.27,29.2,124.4,61.1,2.33,0.82,0,1.64,2.47,35.9,27.3,76,4.25,0.14,0,0,1.78,2.05,0.27,0.41,0.96,0.14,0,0,6.3,1.51,1.78,45.8
282,Rodrigo Bentancur,URU,MF,Tottenham,Premier League,24,1997,17,16,1361,15.1,0,0.93,0.13,14.3,0,0,18.6,0,0,0,59.9,67.2,89.2,1146.8,228.4,23.8,25.5,93.2,26.6,28.7,92.4,8.41,10.3,81.9,0.26,0.99,5.36,0.46,0.13,4.5,67.2,65.9,1.32,1.13,0.13,8.87,1.52,0.66,0,0,0,0,57.3,3.97,5.96,12.6,51.7,1.59,0.2,0.07,59.9,0,0.4,1.32,1.39,2.32,2.19,0,0,0.13,0,0,0.46,0.4,0,0,0.07,0,0,2.45,0.99,0.99,0.93,0.53,0.79,2.19,36.4,1.39,21.7,5.23,24.2,7.48,11.6,2.58,2.12,0.66,0,1.46,1.19,3.64,1.85,0,78.2,4.5,19.7,49.7,14.1,1.13,77.1,0.86,1.19,72.2,0.86,0,56.8,272.4,138.3,5.23,1.32,0.13,0.46,0.99,61.5,58.7,95.6,1.52,0.33,0,0,1.92,1.26,0,0.66,0.99,0,0,0,8.81,1.66,0.99,62.5
294,Steven Bergwijn,NED,FWMF,Tottenham,Premier League,24,1997,25,4,565,6.3,0.48,3.02,1.59,52.6,0.16,0.3,15.9,0,0,0,23.5,28.3,83.1,326.3,66.7,14.9,16.2,92.2,6.35,7.94,80,0.95,1.75,54.5,0.16,1.27,1.27,1.59,0,2.38,28.3,27.1,1.11,0.16,0.16,5.08,0.32,0.95,0.16,0.16,0,0,22.2,3.02,3.02,1.27,25.1,0.79,0.79,0.16,23.5,0,0.48,1.59,0.95,3.17,2.38,0.16,0.32,0.16,0.16,0,0.48,0.16,0,0.16,0,0.16,0,0.79,0.63,0.32,0.16,0.32,0.16,1.11,14.3,0.95,13.3,2.54,19,2.38,5.4,5.56,0.63,0,0,0.63,0.63,1.43,1.43,0,43.5,0.95,6.51,17.5,25.6,7.14,42.5,1.59,2.86,55.6,1.75,0,32.5,199.5,136.5,5.71,2.86,1.43,2.22,3.33,50.2,33.2,66.1,10.2,0.16,0,0,1.43,1.9,0.16,0.95,0.63,0,0,0,4.76,0.16,0.95,14.3
389,Bryan,ESP,FWMF,Tottenham,Premier League,21,2001,9,0,94,1,0,1,1,100,0,0,16.2,0,0,0,49,63,77.8,764,240,29,35,82.9,15,19,78.9,4,5,80,0,2,1,3,2,2,63,60,3,1,0,7,0,4,0,0,0,0,53,6,4,60,1,0,2,0,49,0,0,6,2,5,4,0,0,1,0,0,1,1,0,0,0,0,0,4,3,2,0,2,3,6,50,3,38,12,31.6,10,6,22,2,0,0,2,0,4,0,0,82,2,10,19,58,4,79,3,4,75,3,0,67,393,246,13,2,0,5,3,69,59,85.5,13,0,0,0,1,4,0,4,3,0,0,0,12,0,0,0
642,Ben Davies,WAL,DF,Tottenham,Premier League,29,1993,29,28,2538,28.2,0.04,0.67,0.25,36.8,0.05,0.14,16.3,0,0,0,48.8,56.7,85.9,916.5,309.8,18.6,20,93.1,25.2,27.8,90.7,4.33,7.06,61.3,0.04,0.28,4.4,0.5,0,4.15,56.7,53.8,2.91,1.24,0,5.99,1.1,0.32,0,0,0,0,44.4,4.5,7.87,44.7,6.45,2.16,1.67,0.04,48.8,0.04,0.64,1.42,1.21,1.03,0.96,0.04,0,0.04,0,0,0.14,0.11,0,0,0.04,0,0,1.42,0.64,0.64,0.53,0.25,0.43,1.21,35.3,0.78,9.54,3.05,32,4.72,3.26,1.56,1.38,0.64,0.07,0.74,1.6,3.01,3.3,0,65.7,5.99,26.9,34,9.82,1.21,62.9,0.28,0.39,72.7,0.28,0.04,44,259.3,157.4,6.13,2.16,0.07,0.35,0.35,48.7,46.7,95.8,1.06,0.21,0,0,1.17,0.82,0.18,0.32,0.64,0,0.04,0,7.13,2.73,1.74,61.1
715,Eric Dier,ENG,DF,Tottenham,Premier League,28,1994,35,35,3071,34.1,0,0.38,0.12,30.8,0,0,13.5,0.12,0,0,57.7,65.3,88.5,1297.7,425.5,14.4,15.4,93.7,32.6,34.5,94.5,10.6,14.8,71.5,0,0.23,2.79,0.26,0.03,2.73,65.3,63.8,1.52,1.23,0.12,4.78,1.73,0.09,0,0,0,0,51.6,3.52,10.1,8.86,52.1,2.67,0.15,0.18,57.7,0.21,0.79,1.06,0.47,0.82,0.65,0,0,0.12,0,0.06,0.12,0.06,0,0,0.06,0,0,0.73,0.38,0.32,0.32,0.09,0.12,0.38,30.8,0.26,5.31,2.05,38.7,2.73,2.32,0.26,1.64,1.11,0.03,0.53,1.38,2.11,4.93,0,74.3,13.8,43.5,33.7,1.73,0.59,72.7,0,0.06,0,0.03,0,48.9,272.9,153.2,3.14,0.38,0.03,0.09,0.06,56.5,55.8,98.7,0.15,0.03,0,0,0.53,0.38,0,0.09,0.38,0,0,0.03,7.04,2.61,1.5,63.6
747,Matt Doherty,IRL,DF,Tottenham,Premier League,30,1992,15,9,875,9.7,0.21,1.65,0.62,37.5,0.13,0.33,13.8,0,0,0,45.4,55.5,81.8,765.8,202.1,22.8,25.6,89.1,18.1,21.3,85,3.81,6.19,61.7,0.41,1.44,2.06,1.13,0.41,3.71,55.5,48.8,6.7,0.52,0.21,7.42,1.34,2.06,0,0,0,0,38.4,10,7.11,3.09,43.1,1.65,6.19,0.1,45.4,0.1,0.52,2.99,1.75,2.37,1.96,0,0.1,0.31,0,0,0.41,0.41,0,0,0,0,0,1.86,1.24,0.93,0.82,0.1,0.72,1.24,58.3,0.52,12.4,4.33,35,5.15,5.57,1.65,2.47,0.21,0,2.27,1.75,3.61,1.55,0,66.4,3.4,19,28.9,21.6,3.81,60,0.62,0.93,66.7,0.62,0,42.3,205.3,122.9,6.7,1.24,0.93,1.13,0.82,47.5,43.8,92.2,4.12,0,0,0,1.44,0.41,0,2.06,1.24,0,0,0,7.42,1.75,0.93,65.4
822,Emerson,BRA,DF,Tottenham,Premier League,23,1999,31,26,2286,25.4,0.04,0.59,0.16,26.7,0.07,0.25,14.6,0,0,0,46.4,56.7,81.7,755.2,208.8,25.1,27.9,89.8,17.2,20.3,84.5,3.5,5.79,60.5,0.04,1.02,1.46,1.06,0.39,3.19,56.7,46.3,10.5,0.98,0,7.83,0.63,2.36,0.04,0,0,0,35.9,12.6,8.31,5,39,2.32,9.45,0.16,46.4,0.04,0.51,1.46,2.24,1.93,1.57,0,0.16,0.08,0.04,0.08,0.16,0.16,0,0,0,0,0,3.39,1.54,2.2,0.94,0.24,1.1,2.36,46.7,1.26,19.7,4.96,25.2,9.65,6.97,3.07,2.2,0.16,0,2.05,1.38,4.76,3.11,0,69.8,4.41,22.7,27.8,22.9,2.6,60.2,0.71,1.06,66.7,0.71,0,40.2,179.8,98.7,4.96,1.38,0.39,0.67,1.18,45.2,40,88.5,3.5,0.2,0,0,1.5,2.09,0.08,2.36,1.54,0,0,0,8.31,1.61,1.65,49.4
1181,Son Heung-min,KOR,FWMF,Tottenham,Premier League,29,1992,35,35,3006,33.4,0.69,2.57,1.41,54.7,0.27,0.49,15.4,0.06,0,0,27.9,36.6,76.3,434.5,105.7,15.9,17.6,90.1,8.92,10.8,82.8,2.31,6.14,37.6,0.21,2.13,1.05,1.35,0.12,2.28,36.6,30.3,6.35,1.23,0.09,5.48,1.11,1.95,4.7,1.77,1.74,0.12,26.1,3.68,6.83,3.98,31,0.99,0.18,0.15,27.9,0.12,0.39,1.23,1.23,3.86,2.25,1.05,0.12,0.24,0.18,0.03,0.45,0.24,0.12,0,0,0.09,0,0.57,0.36,0.21,0.27,0.09,0.15,0.78,19.2,0.63,11.5,2.87,25.1,1.95,5.69,3.83,0.96,0.24,0,0.72,0.87,1.44,0.33,0,47.2,0.42,4.82,18.7,27.2,5,41,1.53,2.57,59.3,1.71,0.09,32.4,198.6,110.2,5.54,1.98,1.59,1.77,1.98,46.9,32.7,69.8,7.66,0.06,0,0,0.51,1.38,0.48,1.95,0.36,0.06,0,0,5.03,0.45,1.44,23.8
1214,Pierre Højbjerg,DEN,MF,Tottenham,Premier League,26,1995,36,36,3196,35.5,0.06,0.87,0.28,32.3,0.06,0.2,21.9,0.03,0,0,62.6,70,89.4,1208.5,310.3,24.9,26.9,92.6,28.5,30.8,92.2,8.34,10.8,77.1,0.06,0.85,6.39,0.99,0.11,5.72,70,67.5,2.48,2,0.2,8.28,2.37,0.59,0.06,0,0,0,57.2,5.13,7.63,9.13,57.3,2.25,0.31,0.2,62.6,0.17,0.7,1.63,0.51,2.28,1.89,0.08,0.14,0.03,0.06,0.08,0.14,0.14,0,0,0,0,0,2.37,1.38,0.79,1.27,0.31,0.82,2.25,36.3,1.44,18.8,4.96,26.3,7.18,8.99,2.68,2.06,0.37,0,1.69,1.97,4.34,1.72,0,80.1,3.46,21.1,50.1,13.5,0.96,77.9,1.13,1.61,70.2,1.15,0.06,56.5,249.1,125.4,4.06,1.1,0.2,0.68,0.76,60.8,58.3,95.8,1.44,0.08,0,0,1.24,1.32,0,0.59,1.38,0,0,0,10.6,0.99,0.56,63.6
1343,Harry Kane,ENG,FW,Tottenham,Premier League,28,1993,37,36,3232,35.9,0.47,3.65,1.42,38.9,0.1,0.25,16.9,0.22,0.11,0.11,18.4,26.5,69.2,364.7,113.2,7.99,10.4,77.2,6.52,8.75,74.5,3.34,5.26,63.5,0.25,1.36,2.53,1.14,0.22,3.26,26.5,25,1.56,0.19,0.53,7.08,1.06,1.11,0,0,0,0,15.9,5.1,5.54,2.56,20.7,0.89,0.39,0.19,18.4,0.33,0.39,1.78,1.81,3.26,2.4,0.06,0.28,0.31,0.17,0.06,0.58,0.47,0,0.03,0.08,0,0,0.53,0.28,0.08,0.31,0.14,0.22,0.7,32,0.47,10.5,3.06,29.1,0.75,4.18,5.6,0.61,0.25,0.03,0.36,0.19,0.72,1.06,0,39.9,1.31,4.15,20.4,18.4,5.4,38.2,1.73,2.84,60.8,1.87,0.28,27.9,147.4,69.1,3.82,1.34,0.72,2.42,2.03,48.9,30.8,63,8.05,0.14,0,0,1.28,1.95,0.47,1.11,0.28,0,0,0,4.18,2.65,2.95,47.3
1446,Dejan Kulusevski,SWE,MFFW,Tottenham,Premier League,22,2000,18,14,1261,14,0.36,1.86,0.64,34.6,0.19,0.56,17.1,0,0,0,27.8,33.1,83.8,422,91.3,16.1,17.4,92.6,9.93,11.7,84.8,1.29,2.14,60,0.57,1.86,1.36,1.71,0.5,2.64,33.1,31.7,1.43,0.07,0,5.86,0.36,1.71,0.07,0,0,0,28.1,2.57,2.5,27.2,5.21,0.14,0.21,0,27.8,0.07,0.14,0.93,1.57,3.36,2.5,0,0.43,0.36,0.07,0,1,0.71,0,0.21,0.07,0,0,1.43,1.14,0.64,0.71,0.07,0.43,1.36,31.6,0.93,22.1,5.64,25.5,8,9,5.14,0.79,0,0,0.79,1.86,3.29,0.07,0,45.3,0.29,7,20.3,21,5.07,43.9,2,4,50,2.21,0.36,35.4,184.9,105.9,6.71,1.36,1.57,2,1.93,41.9,32.3,77.1,6.79,0.21,0,0,1.79,1.29,0.29,1.71,1.14,0,0,0,6.43,0.36,0.93,27.8
1535,Hugo Lloris,FRA,GK,Tottenham,Premier League,35,1986,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,19.6,24.8,79.1,536.1,304.9,5.18,5.24,99,7.63,7.71,99,6.55,11.6,56.5,0,0.08,0.42,0,0,0,24.8,16.3,8.47,1.21,0.03,1.53,0.39,0,0,0,0,0,14.3,1.08,9.45,15,4.08,0.03,0,3.92,19.6,0.05,0.34,0.24,0.03,0.16,0.16,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.11,0.03,25,0.08,0.03,0,0,0,0,0,0,0,0,0.08,27.4,25.4,27.4,0.08,0,0,19,0,0,0,0,0,10.5,46.3,23,0,0,0,0,0,9.82,9.74,99.2,0,0.05,0,0,0,0.08,0,0,0,0,0,0,4.11,0,0.03,0
1536,Giovani Lo Celso,ARG,MFFW,Tottenham,Premier League,26,1996,9,2,238,2.6,0,3.46,0,0,0,0,18.5,0.38,0,0,45,56.9,79.1,713.5,130.8,24.2,26.5,91.3,10.8,13.8,77.8,6.15,8.46,72.7,0,1.92,5.38,0.38,0,2.31,56.9,51.9,5,1.15,0.38,9.62,1.92,0.38,3.85,0.77,1.54,0.38,43.5,7.31,6.15,47.7,8.08,0.38,0,0.77,45,0,0,3.85,3.08,3.85,1.92,0.77,0,0.38,0.77,0,0,0,0,0,0,0,0,3.08,1.15,1.54,1.15,0.38,1.15,4.62,25,3.46,26.5,5.38,20.3,10,11.2,5.38,2.69,0.38,0,2.31,1.15,4.23,0,0,75.4,0.38,9.62,38.1,32.7,3.85,70.8,2.31,3.08,75,3.08,0,54.6,290,148.5,7.69,2.31,0.38,3.08,3.85,66.5,55.8,83.8,8.85,0,0,0,1.92,2.69,0.38,0.38,1.15,0,0,0,7.31,0,1.15,0
1861,Lucas Moura,BRA,FWMF,Tottenham,Premier League,29,1992,34,19,1775,19.7,0.1,1.93,0.56,28.9,0.05,0.18,15.6,0,0,0,29.2,38.8,75.3,455.1,125,16.2,18.9,86,10.7,14.3,75.1,1.57,3.45,45.6,0.3,1.68,2.59,1.73,0.3,4.16,38.8,37.9,0.96,0.41,0.36,8.07,0.25,1.32,0.05,0,0,0,28.5,4.52,5.79,4.31,30.8,1.32,0.36,0.3,29.2,0.46,0.41,2.18,1.22,3.2,2.64,0,0.15,0.1,0.25,0.05,0.46,0.46,0,0,0,0,0,1.47,0.71,0.3,0.81,0.36,0.3,1.32,23.1,1.02,14.1,3.45,24.5,3.35,7.11,3.65,0.91,0.05,0,0.86,1.12,2.59,1.07,0,53.1,1.02,5.89,29.3,22.8,3.25,52.5,2.03,3.71,54.8,2.18,0.05,38.3,204.9,114.4,7.31,2.64,0.76,2.79,2.18,50.9,40.1,78.7,5.13,0.2,0,0,1.32,2.69,0.15,1.32,0.71,0,0,0,7.06,2.44,1.68,59.3
1909,Tanguy Ndombele,FRA,MF,Tottenham,Premier League,25,1996,9,6,484,5.4,0.19,1.67,0.56,33.3,0.11,0.33,17.3,0,0,0,42.2,48.9,86.4,680,153.1,22.2,23.9,93,15,17.6,85.3,3.7,4.63,80,0.19,0.74,4.26,0.74,0,3.7,48.9,47.4,1.48,0.37,0,6.3,0.37,0.37,0,0,0,0,44.6,2.59,1.67,3.7,44.1,0.56,0,0.19,42.2,0,0.19,2.22,1.3,2.41,1.85,0,0.19,0.19,0.19,0,0.19,0.19,0,0,0,0,0,2.41,1.85,0.74,1.48,0.19,0.19,1.11,16.7,0.93,16.3,4.81,29.5,4.44,8.33,3.52,0.37,0.19,0,0.19,0.56,2.96,0.56,0,65.2,0.93,8.52,40.2,21.1,2.41,63.7,2.41,4.44,54.2,2.41,0.19,48.9,238.7,147,9.63,2.78,1.3,2.78,3.52,58,51.5,88.8,5.56,0.19,0,0,0.93,2.22,0,0.37,1.85,0,0,0,6.85,0.37,0.56,40
2234,Sergio Reguilón,ESP,DF,Tottenham,Premier League,25,1996,25,22,1916,21.3,0.09,0.99,0.42,42.9,0.1,0.22,14.9,0,0,0,34.9,46.3,75.5,619.4,195.3,16.7,19.7,84.8,14.4,18.4,78.5,3.38,6.2,54.5,0.14,1.41,1.5,1.36,0.94,2.44,46.3,38.5,7.75,0.85,0.05,4.6,1.36,2.77,0.47,0.28,0.05,0,27.8,8.64,9.81,34.7,2.82,1.64,6.43,0.05,34.9,0.19,0.56,1.6,2.02,2.44,1.92,0.14,0.14,0.09,0.14,0,0.23,0.23,0,0,0,0,0,2.21,1.31,1.03,0.89,0.28,1.08,1.83,59,0.75,14,4.18,29.9,5.49,6.15,2.35,1.5,0.33,0,1.17,1.97,4.18,2.02,0,58.8,3.52,16.5,23.4,21.7,2.63,51.2,0.85,2.25,37.5,0.89,0.23,35.6,163.4,91.4,4.6,1.55,0.52,1.22,0.94,40.7,35.3,86.8,3.71,0.19,0,0,1.17,1.31,0.05,2.77,1.31,0,0,0,6.76,1.46,1.13,56.4
2283,Joe Rodon,WAL,DF,Tottenham,Premier League,24,1997,3,0,89,1,0,0,0,0,0,0,0,0,0,0,28,31,90.3,598,152,8,8,100,14,16,87.5,6,7,85.7,0,0,2,0,0,0,31,31,0,0,0,4,0,0,0,0,0,0,24,4,3,0,27,1,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,42.9,5,2,0,3,2,0,1,2,2,8,0,44,10,19,26,1,0,44,0,0,0,0,0,23,67,13,0,0,0,0,0,25,23,92,0,0,0,0,0,1,0,0,0,0,0,0,8,4,2,66.7
2303,Cristian Romero,ARG,DF,Tottenham,Premier League,24,1998,22,21,1844,20.5,0.05,0.29,0.1,33.3,0.17,0.5,13.3,0,0,0,54.5,62.3,87.4,1073.3,346.1,19.4,21.2,91.7,27.2,28.8,94.4,7.32,10.8,67.6,0,0.29,2.83,0.34,0,2.54,62.3,60.3,2,1.56,0.05,7.8,1.41,0.1,0,0,0,0,49.2,5.32,7.8,2.73,55.3,2.2,0.44,0.39,54.5,0.05,0.68,1.46,1.02,0.83,0.68,0.05,0,0,0.05,0.05,0.1,0.05,0,0,0,0,0.05,3.66,2.2,2.1,1.46,0.1,1.22,2.1,58.1,0.88,15.5,5.51,35.6,9.51,4.78,1.17,2.44,1.12,0,1.32,2.78,6.44,3.8,0.05,74.8,12.6,40.8,34.9,4.29,0.88,73.1,0.44,0.68,64.3,0.49,0,50,267,151.1,3.85,1.02,0.1,0.54,0.39,51.2,49.7,97.1,0.34,0.39,0,0,1.76,0.83,0.1,0.1,2.2,0,0.05,0,9.71,2.44,1.46,62.5
2381,Davinson Sánchez,COL,DF,Tottenham,Premier League,25,1996,23,17,1631,18.1,0.11,0.72,0.17,23.1,0.15,0.67,8.1,0,0,0,53.7,60.1,89.3,1075.7,299.6,17.5,18.7,93.5,28.6,30.2,94.7,6.96,9.89,70.4,0,0.22,4.31,0.44,0.06,2.87,60.1,58.5,1.66,1.27,0.06,5.8,1.44,0.11,0,0,0,0,49.4,3.65,7.02,6.69,49,2.27,0.39,0.28,53.7,0.06,0.77,0.83,0.33,0.88,0.83,0,0,0.06,0,0,0.06,0.06,0,0,0,0,0,2.49,1.22,1.33,0.94,0.22,0.88,1.49,59.3,0.61,10.3,3.65,35.5,4.92,4.42,0.94,1.93,1.05,0,0.88,1.88,4.36,4.2,0,71.3,7.62,31.4,37.8,6.46,1.22,69.8,0.17,0.28,60,0.22,0,46.1,222.7,124.3,5.69,1.22,0,0.17,0.55,51,49.5,97.1,0.28,0.22,0,0,0.88,0.66,0.06,0.11,1.22,0,0,0,8.45,3.09,2.1,59.6
2420,Dane Scarlett,ENG,MF,Tottenham,Premier League,18,2004,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,100,12,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,100,1,0,2,2,1,0,0,0,0,0,3,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2462,Ryan Sessegnon,ENG,DF,Tottenham,Premier League,22,2000,15,13,1047,11.6,0,0.52,0.09,16.7,0,0,13.6,0,0,0,27.2,36.6,74.3,465.3,127,13.5,16,84.4,10.6,13.6,77.8,2.84,4.91,57.9,0.17,1.29,1.03,1.29,0.52,3.02,36.6,30.6,5.95,0.43,0,4.83,0.78,2.24,0.09,0,0,0,22.1,8.62,5.86,24.1,5.26,1.03,5.43,0,27.2,0.17,1.21,1.03,1.72,1.81,1.64,0.09,0.09,0,0,0,0.34,0.34,0,0,0,0,0,2.33,1.21,1.12,0.78,0.43,1.03,2.24,46.2,1.21,19.8,4.91,24.8,8.62,6.38,4.83,2.59,0.26,0,2.33,1.64,3.97,1.9,0,49.1,3.28,14.8,16.5,20.5,3.79,43.2,0.43,1.12,38.5,0.43,0,28.5,160.2,89.6,4.57,0.6,0.6,1.81,1.38,34,28.3,83.2,4.31,0.17,0,0,2.33,0.78,0.43,2.24,1.21,0,0,0,5.26,1.12,1.29,46.4
2512,Oliver Skipp,ENG,MF,Tottenham,Premier League,21,2000,18,14,1350,15,0,0.27,0.07,25,0,0,24.1,0,0,0,49.1,54.8,89.5,880.3,202.4,20.9,22.4,93.2,22.9,24.7,92.5,4.87,6.33,76.8,0,0.47,5.13,0.6,0.07,4.6,54.8,53.6,1.2,1.13,0.07,6.47,0.93,0.33,0,0,0,0,45.9,4.07,4.8,2.93,49.5,1.47,0.07,0.27,49.1,0,0.53,1.6,1.07,1.47,1.4,0,0,0,0.07,0,0.2,0.2,0,0,0,0,0,2.2,1.2,0.93,1.07,0.2,0.8,1.87,42.9,1.07,18.3,4.73,25.8,7.27,8.73,2.33,1.67,0.6,0,1.07,1.27,3.47,0.93,0,63.5,2,12.8,43.9,10.3,0.67,62.4,0.13,0.2,66.7,0.13,0,43.3,208.1,114.1,5.67,1.93,0.33,0.53,0.87,48.7,46,94.5,0.87,0.4,0,0,1.33,1.53,0.07,0.33,1.2,0,0,0,8.87,0.8,0.93,46.2
2609,Japhet Tanganga,ENG,DF,Tottenham,Premier League,23,1999,11,10,735,8.2,0,0.85,0.24,28.6,0,0,13.1,0,0,0,39.9,48.3,82.6,718.2,213.4,18,20.4,88.6,17.6,20.7,84.7,3.66,6.22,58.8,0,0.24,1.1,0.61,0.12,2.2,48.3,41.6,6.71,0.61,0,5,0.98,1.22,0,0,0,0,31.6,7.93,8.78,4.27,34.9,1.95,6.1,0.24,39.9,0,0.85,1.59,0.61,0.37,0.24,0,0,0.12,0,0,0,0,0,0,0,0,0,2.56,1.46,1.22,0.73,0.61,0.98,1.59,61.5,0.61,13.4,4.39,32.7,6.34,5.49,1.59,1.95,0.85,0,1.1,2.07,4.63,3.66,0,61.2,5.73,22.1,29.5,14,1.34,54.6,0.37,0.73,50,0.37,0.12,34.5,171.3,116.2,4.27,1.83,0.37,0.49,1.1,39.9,37.8,94.8,1.46,0.49,0.12,0.12,2.44,1.22,0.12,1.22,1.46,0,0,0,5.61,2.32,1.22,65.5
2850,Harry Winks,ENG,MF,Tottenham,Premier League,26,1996,19,9,912,10.1,0,0.3,0.1,33.3,0,0,24.2,0,0,0,56.7,65.5,86.6,1110.4,319.4,21.6,23.3,92.8,25.2,28.2,89.5,8.42,11.8,71.4,0.1,1.09,6.04,1.49,0,6.73,65.5,62.4,3.17,1.98,0.59,8.32,1.88,0.89,0.89,0.3,0.4,0,53.2,4.26,8.12,6.44,57.5,1.09,0,0,56.7,0.2,0.59,2.28,0.59,2.28,1.68,0.3,0.1,0,0.2,0,0.4,0.4,0,0,0,0,0,1.68,0.69,0.5,0.79,0.4,0.79,1.58,50,0.79,14.4,3.17,22.1,5.05,7.03,2.28,1.78,0.4,0,1.39,1.88,3.56,0.79,0,74.9,2.28,17.5,46.1,15.6,0.4,72.1,0.5,1.09,45.5,0.59,0,51.8,255.9,108.4,4.65,1.39,0.1,0.4,1.19,59.1,57.5,97.3,1.19,0.2,0,0,1.19,1.58,0,0.89,0.69,0,0,0,7.43,0.5,0.69,41.7